DATE,Confirmed
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,6
1/31/20,8
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,12
2/7/20,12
2/8/20,12
2/9/20,12
2/10/20,12
2/11/20,13
2/12/20,13
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,14
2/18/20,14
2/19/20,14
2/20/20,14
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,16
2/25/20,16
2/26/20,16
2/27/20,17
2/28/20,17
2/29/20,25
3/1/20,32
3/2/20,55
3/3/20,74
3/4/20,107
3/5/20,184
3/6/20,237
3/7/20,403
3/8/20,519
3/9/20,594
3/10/20,782
3/11/20,1147
3/12/20,1586
3/13/20,2219
3/14/20,2978
3/15/20,3212
3/16/20,4679
3/17/20,6512
3/18/20,9169
3/19/20,13663
3/20/20,20030
3/21/20,26025
3/22/20,34944
3/23/20,46096
3/24/20,56714
3/25/20,68841
3/26/20,86662
3/27/20,105253
3/28/20,127417
3/29/20,143544
3/30/20,165698
3/31/20,192079
4/1/20,223254
4/2/20,255530
4/3/20,287931
4/4/20,319776
4/5/20,349016
4/6/20,380798
4/7/20,410834
4/8/20,441897
4/9/20,477507
4/10/20,511790
4/11/20,540714
4/12/20,567022
4/13/20,594165
4/14/20,622493
4/15/20,648390
4/16/20,678028
4/17/20,711135
4/18/20,738464
4/19/20,763886
4/20/20,793970
4/21/20,820045
4/22/20,849926
4/23/20,881891
4/24/20,913856
4/25/20,944770
4/26/20,970741
4/27/20,995390
4/28/20,1019963
4/29/20,1046815
4/30/20,1076517
5/1/20,1111409
5/2/20,1138173
5/3/20,1161906
5/4/20,1185708
5/5/20,1209727
5/6/20,1234209
5/7/20,1261948
5/8/20,1289131
5/9/20,1313585
5/10/20,1332331
5/11/20,1351408
5/12/20,1374790
5/13/20,1394805
5/14/20,1420695
5/15/20,1445546
5/16/20,1469596
5/17/20,1488325
5/18/20,1510633
5/19/20,1531135
5/20/20,1553961
5/21/20,1579113
5/22/20,1602941
5/23/20,1623130
5/24/20,1643304
5/25/20,1662398
5/26/20,1681124
5/27/20,1699887
5/28/20,1721154
5/29/20,1746236
5/30/20,1769316
5/31/20,1788235
6/1/20,1806075
6/2/20,1826165
6/3/20,1845321
6/4/20,1873255
6/5/20,1899694
6/6/20,1919963
6/7/20,1937789
6/8/20,1954688
6/9/20,1975009
6/10/20,1996727
6/11/20,2019005
6/12/20,2044563
6/13/20,2068720
6/14/20,2087621
6/15/20,2108620
6/16/20,2133169
6/17/20,2160219
6/18/20,2188446
